Time,Load,TotalPower,Diesel,Solar,Wind,RemainingPower,V2G
0.321509986,1.198920851,0.991894078,-0.260469841,-0.001267677,1.253631596,-0.207026774,1.41531E-06
0.323759583,1.199389493,1.060982643,-0.192243644,-0.00123804,1.254464327,-0.13840685,1.41431E-06
0.326009179,1.200375517,1.149534933,-0.105116083,-0.001206612,1.255857628,-0.050840584,1.41466E-06
0.328258776,1.201921388,1.217377114,-0.039135025,-0.001187788,1.257699926,0.015455725,1.41615E-06
0.330508373,1.203793811,1.234905504,-0.023562852,-0.001189761,1.259658117,0.031111693,1.41808E-06
0.33275797,1.205598887,1.196798786,-0.06332919,-0.001210784,1.26133876,-0.008800101,1.41953E-06
0.335007566,1.206970781,1.124024084,-0.137210428,-0.001240174,1.262474685,-0.082946697,1.41983E-06
0.337257163,1.207743651,1.05343261,-0.208352514,-0.001263514,1.263048638,-0.154311041,1.41886E-06
0.33950676,1.208026162,1.020096143,-0.241931249,-0.00126951,1.263296902,-0.18793002,1.41712E-06
0.341756357,1.208145387,1.040843813,-0.221494456,-0.001255253,1.263593521,-0.167301574,1.41543E-06
0.344005953,1.208489015,1.10671817,-0.156326329,-0.001227426,1.264271925,-0.101770845,1.41461E-06
0.34625555,1.209322049,1.187715989,-0.076554098,-0.001198981,1.265469068,-0.021606061,1.41501E-06
0.348505147,1.210664645,1.247333484,-0.018548548,-0.001182923,1.267064956,0.036668839,1.41643E-06
0.350754743,1.212287424,1.259873502,-0.007684511,-0.001186183,1.268744196,0.047586077,1.41819E-06
0.35300434,1.213824312,1.222314242,-0.046627622,-0.00120647,1.270148334,0.00848993,1.41945E-06
0.355253937,1.214947608,1.155265092,-0.114546965,-0.001233525,1.271045582,-0.059682516,1.41964E-06
0.357503534,1.215521669,1.092784043,-0.17739952,-0.001254105,1.271437669,-0.122737626,1.4187E-06
0.35975313,1.21566326,1.066077677,-0.204218776,-0.001258274,1.271554727,-0.149585583,1.41709E-06
0.362002727,1.215681959,1.088878153,-0.181620634,-0.001244018,1.271742805,-0.126803806,1.41559E-06
0.364252324,1.21593104,1.15134089,-0.119740122,-0.001218042,1.272299054,-0.06459015,1.41491E-06
0.366501921,1.21664065,1.225158506,-0.046982149,-0.001192447,1.273333102,0.008517856,1.41535E-06
0.368751517,1.217812075,1.277256384,0.00371602,-0.001178929,1.274719293,0.059444308,1.41669E-06
0.371001114,1.219221646,1.285451197,0.010473981,-0.001183281,1.276160498,0.066229551,1.41829E-06
0.373250711,1.220530426,1.248663877,-0.027464721,-0.001202778,1.277331376,0.028133451,1.41939E-06
0.374987508,1.221281606,1.201886625,-0.074809081,-0.001222055,1.277917762,-0.01939498,1.41956E-06
0.374987508,1.221281606,1.201886625,-0.074809081,-0.001222055,1.277917762,-0.01939498,1.41956E-06
